doc_id,cip4,degree_level,cip_title,median_earnings_4yr_nat,text
1001_Associates_Degree,1001,Associate's Degree,Communications Technologies/Technicians.,35292.0,"CIP family (cip4): 1001
Field of study: Communications Technologies/Technicians.
Degree level: Associate's Degree
Median earnings (4 years after completion, national): $35,292

Related occupations with OEWS wages (top 10 by employment):
- 27-4032 Film and Video Editors | median wage $70,980 | employment 28,860
- 27-4032 Film and Video Editors | median wage $70,980 | employment 28,860
- 27-4032 Film and Video Editors | median wage $70,980 | employment 28,860
- 27-4032 Film and Video Editors | median wage $70,980 | employment 28,860
- 27-4032 Film and Video Editors | median wage $70,980 | employment 28,860
- 27-4032 Film and Video Editors | median wage $70,980 | employment 28,860
- 27-4032 Film and Video Editors | median wage $70,980 | employment 28,860
- 27-3099 Media and Communication Workers, All Other | median wage $71,770 | employment 23,590
- 27-3099 Media and Communication Workers, All Other | median wage $71,770 | employment 23,590
- 27-3099 Media and Communication Workers, All Other | median wage $71,770 | employment 23,590"
1001_Bachelors_Degree,1001,Bachelor's Degree,Communications Technologies/Technicians.,36451.0,"CIP family (cip4): 1001
Field of study: Communications Technologies/Technicians.
Degree level: Bachelor's Degree
Median earnings (4 years after completion, national): $36,451

Related occupations with OEWS wages (top 10 by employment):
- 27-4032 Film and Video Editors | median wage $70,980 | employment 28,860
- 27-4032 Film and Video Editors | median wage $70,980 | employment 28,860
- 27-4032 Film and Video Editors | median wage $70,980 | employment 28,860
- 27-4032 Film and Video Editors | median wage $70,980 | employment 28,860
- 27-4032 Film and Video Editors | median wage $70,980 | employment 28,860
- 27-4032 Film and Video Editors | median wage $70,980 | employment 28,860
- 27-4032 Film and Video Editors | median wage $70,980 | employment 28,860
- 27-4032 Film and Video Editors | median wage $70,980 | employment 28,860
- 27-4032 Film and Video Editors | median wage $70,980 | employment 28,860
- 27-4032 Film and Video Editors | median wage $70,980 | employment 28,860"
1001_Masters_Degree,1001,Master's Degree,Communications Technologies/Technicians.,71506.0,"CIP family (cip4): 1001
Field of study: Communications Technologies/Technicians.
Degree level: Master's Degree
Median earnings (4 years after completion, national): $71,506

Related occupations with OEWS wages (top 10 by employment):
- 27-4032 Film and Video Editors | median wage $70,980 | employment 28,860
- 27-4032 Film and Video Editors | median wage $70,980 | employment 28,860
- 27-4032 Film and Video Editors | median wage $70,980 | employment 28,860
- 27-3099 Media and Communication Workers, All Other | median wage $71,770 | employment 23,590
- 27-3099 Media and Communication Workers, All Other | median wage $71,770 | employment 23,590
- 27-3099 Media and Communication Workers, All Other | median wage $71,770 | employment 23,590
- 27-4012 Broadcast Technicians | median wage $53,920 | employment 21,080
- 27-4012 Broadcast Technicians | median wage $53,920 | employment 21,080
- 27-4012 Broadcast Technicians | median wage $53,920 | employment 21,080
- 27-4014 Sound Engineering Technicians | median wage $66,430 | employment 13,050"
1001_Undergraduate_Certificate_or_Diploma,1001,Undergraduate Certificate or Diploma,Communications Technologies/Technicians.,33445.0,"CIP family (cip4): 1001
Field of study: Communications Technologies/Technicians.
Degree level: Undergraduate Certificate or Diploma
Median earnings (4 years after completion, national): $33,445

Related occupations with OEWS wages (top 10 by employment):
- 27-4032 Film and Video Editors | median wage $70,980 | employment 28,860
- 27-4032 Film and Video Editors | median wage $70,980 | employment 28,860
- 27-4032 Film and Video Editors | median wage $70,980 | employment 28,860
- 27-4032 Film and Video Editors | median wage $70,980 | employment 28,860
- 27-4032 Film and Video Editors | median wage $70,980 | employment 28,860
- 27-4032 Film and Video Editors | median wage $70,980 | employment 28,860
- 27-4032 Film and Video Editors | median wage $70,980 | employment 28,860
- 27-4032 Film and Video Editors | median wage $70,980 | employment 28,860
- 27-4032 Film and Video Editors | median wage $70,980 | employment 28,860
- 27-4032 Film and Video Editors | median wage $70,980 | employment 28,860"
1002_Associates_Degree,1002,Associate's Degree,Audiovisual Communications Technologies/Technicians.,35660.0,"CIP family (cip4): 1002
Field of study: Audiovisual Communications Technologies/Technicians.
Degree level: Associate's Degree
Median earnings (4 years after completion, national): $35,660

Related occupations with OEWS wages (top 10 by employment):
- 27-4011 Audio and Video Technicians | median wage $54,830 | employment 70,080
- 27-4011 Audio and Video Technicians | median wage $54,830 | employment 70,080
- 27-4011 Audio and Video Technicians | median wage $54,830 | employment 70,080
- 27-4011 Audio and Video Technicians | median wage $54,830 | employment 70,080
- 27-4011 Audio and Video Technicians | median wage $54,830 | employment 70,080
- 27-4011 Audio and Video Technicians | median wage $54,830 | employment 70,080
- 27-4011 Audio and Video Technicians | median wage $54,830 | employment 70,080
- 27-4011 Audio and Video Technicians | median wage $54,830 | employment 70,080
- 27-4011 Audio and Video Technicians | median wage $54,830 | employment 70,080
- 27-4011 Audio and Video Technicians | median wage $54,830 | employment 70,080"
1002_Bachelors_Degree,1002,Bachelor's Degree,Audiovisual Communications Technologies/Technicians.,44889.0,"CIP family (cip4): 1002
Field of study: Audiovisual Communications Technologies/Technicians.
Degree level: Bachelor's Degree
Median earnings (4 years after completion, national): $44,889

Related occupations with OEWS wages (top 10 by employment):
- 27-4011 Audio and Video Technicians | median wage $54,830 | employment 70,080
- 27-4011 Audio and Video Technicians | median wage $54,830 | employment 70,080
- 27-4011 Audio and Video Technicians | median wage $54,830 | employment 70,080
- 27-4011 Audio and Video Technicians | median wage $54,830 | employment 70,080
- 27-4011 Audio and Video Technicians | median wage $54,830 | employment 70,080
- 27-4011 Audio and Video Technicians | median wage $54,830 | employment 70,080
- 27-4011 Audio and Video Technicians | median wage $54,830 | employment 70,080
- 27-4011 Audio and Video Technicians | median wage $54,830 | employment 70,080
- 27-4011 Audio and Video Technicians | median wage $54,830 | employment 70,080
- 27-4011 Audio and Video Technicians | median wage $54,830 | employment 70,080"
1002_Masters_Degree,1002,Master's Degree,Audiovisual Communications Technologies/Technicians.,64808.0,"CIP family (cip4): 1002
Field of study: Audiovisual Communications Technologies/Technicians.
Degree level: Master's Degree
Median earnings (4 years after completion, national): $64,808

Related occupations with OEWS wages (top 10 by employment):
- 27-4011 Audio and Video Technicians | median wage $54,830 | employment 70,080
- 27-4011 Audio and Video Technicians | median wage $54,830 | employment 70,080
- 27-4011 Audio and Video Technicians | median wage $54,830 | employment 70,080
- 27-4011 Audio and Video Technicians | median wage $54,830 | employment 70,080
- 27-4011 Audio and Video Technicians | median wage $54,830 | employment 70,080
- 27-4011 Audio and Video Technicians | median wage $54,830 | employment 70,080
- 27-4011 Audio and Video Technicians | median wage $54,830 | employment 70,080
- 27-4011 Audio and Video Technicians | median wage $54,830 | employment 70,080
- 27-4011 Audio and Video Technicians | median wage $54,830 | employment 70,080
- 27-4011 Audio and Video Technicians | median wage $54,830 | employment 70,080"
1002_Post-baccalaureate_Certificate,1002,Post-baccalaureate Certificate,Audiovisual Communications Technologies/Technicians.,28950.0,"CIP family (cip4): 1002
Field of study: Audiovisual Communications Technologies/Technicians.
Degree level: Post-baccalaureate Certificate
Median earnings (4 years after completion, national): $28,950

Related occupations with OEWS wages (top 10 by employment):
- 27-4011 Audio and Video Technicians | median wage $54,830 | employment 70,080
- 27-4011 Audio and Video Technicians | median wage $54,830 | employment 70,080
- 27-4011 Audio and Video Technicians | median wage $54,830 | employment 70,080
- 27-4011 Audio and Video Technicians | median wage $54,830 | employment 70,080
- 27-4011 Audio and Video Technicians | median wage $54,830 | employment 70,080
- 27-4011 Audio and Video Technicians | median wage $54,830 | employment 70,080
- 27-4032 Film and Video Editors | median wage $70,980 | employment 28,860
- 27-4032 Film and Video Editors | median wage $70,980 | employment 28,860
- 27-4032 Film and Video Editors | median wage $70,980 | employment 28,860
- 27-4032 Film and Video Editors | median wage $70,980 | employment 28,860"
1002_Undergraduate_Certificate_or_Diploma,1002,Undergraduate Certificate or Diploma,Audiovisual Communications Technologies/Technicians.,33223.0,"CIP family (cip4): 1002
Field of study: Audiovisual Communications Technologies/Technicians.
Degree level: Undergraduate Certificate or Diploma
Median earnings (4 years after completion, national): $33,223

Related occupations with OEWS wages (top 10 by employment):
- 27-4011 Audio and Video Technicians | median wage $54,830 | employment 70,080
- 27-4011 Audio and Video Technicians | median wage $54,830 | employment 70,080
- 27-4011 Audio and Video Technicians | median wage $54,830 | employment 70,080
- 27-4011 Audio and Video Technicians | median wage $54,830 | employment 70,080
- 27-4011 Audio and Video Technicians | median wage $54,830 | employment 70,080
- 27-4011 Audio and Video Technicians | median wage $54,830 | employment 70,080
- 27-4011 Audio and Video Technicians | median wage $54,830 | employment 70,080
- 27-4011 Audio and Video Technicians | median wage $54,830 | employment 70,080
- 27-4011 Audio and Video Technicians | median wage $54,830 | employment 70,080
- 27-4011 Audio and Video Technicians | median wage $54,830 | employment 70,080"
1003_Associates_Degree,1003,Associate's Degree,Graphic Communications.,36221.0,"CIP family (cip4): 1003
Field of study: Graphic Communications.
Degree level: Associate's Degree
Median earnings (4 years after completion, national): $36,221

Related occupations with OEWS wages (top 10 by employment):
- 51-5112 Printing Press Operators | median wage $45,160 | employment 145,110
- 51-5112 Printing Press Operators | median wage $45,160 | employment 145,110
- 51-5112 Printing Press Operators | median wage $45,160 | employment 145,110
- 51-5112 Printing Press Operators | median wage $45,160 | employment 145,110
- 51-5112 Printing Press Operators | median wage $45,160 | employment 145,110
- 51-5112 Printing Press Operators | median wage $45,160 | employment 145,110
- 51-5112 Printing Press Operators | median wage $45,160 | employment 145,110
- 51-5112 Printing Press Operators | median wage $45,160 | employment 145,110
- 51-5112 Printing Press Operators | median wage $45,160 | employment 145,110
- 51-5112 Printing Press Operators | median wage $45,160 | employment 145,110"
