soc_code,occupation_title,employment_national,annual_median_wage,source
11-1000,Top Executives,3822780.0,104990.0,BLS OEWS 2024
11-1011,Chief Executives,211850.0,206420.0,BLS OEWS 2024
11-1021,General and Operations Managers,3584420.0,102950.0,BLS OEWS 2024
11-1031,Legislators,26510.0,44810.0,BLS OEWS 2024
11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",1122770.0,144530.0,BLS OEWS 2024
11-2011,Advertising and Promotions Managers,21100.0,126960.0,BLS OEWS 2024
11-2020,Marketing and Sales Managers,988680.0,148870.0,BLS OEWS 2024
11-2021,Marketing Managers,384980.0,161030.0,BLS OEWS 2024
11-2022,Sales Managers,603710.0,138060.0,BLS OEWS 2024
11-2030,Public Relations and Fundraising Managers,112980.0,132870.0,BLS OEWS 2024
11-2032,Public Relations Managers,76060.0,138520.0,BLS OEWS 2024
11-2033,Fundraising Managers,36920.0,123480.0,BLS OEWS 2024
11-3000,Operations Specialties Managers,2669000.0,140330.0,BLS OEWS 2024
11-3010,Administrative Services and Facilities Managers,395230.0,106880.0,BLS OEWS 2024
11-3012,Administrative Services Managers,254140.0,108390.0,BLS OEWS 2024
11-3013,Facilities Managers,141090.0,104690.0,BLS OEWS 2024
11-3021,Computer and Information Systems Managers,645970.0,171200.0,BLS OEWS 2024
11-3031,Financial Managers,818620.0,161700.0,BLS OEWS 2024
11-3051,Industrial Production Managers,234380.0,121440.0,BLS OEWS 2024
11-3061,Purchasing Managers,81240.0,139510.0,BLS OEWS 2024
11-3071,"Transportation, Storage, and Distribution Managers",213000.0,102010.0,BLS OEWS 2024
11-3111,Compensation and Benefits Managers,20070.0,140360.0,BLS OEWS 2024
11-3121,Human Resources Managers,215520.0,140030.0,BLS OEWS 2024
11-3131,Training and Development Managers,44960.0,127090.0,BLS OEWS 2024
11-9000,Other Management Occupations,3352280.0,104030.0,BLS OEWS 2024
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",5910.0,87980.0,BLS OEWS 2024
11-9021,Construction Managers,348330.0,106980.0,BLS OEWS 2024
11-9030,Education and Childcare Administrators,621000.0,100650.0,BLS OEWS 2024
11-9031,"Education and Childcare Administrators, Preschool and Daycare",71620.0,56270.0,BLS OEWS 2024
11-9032,"Education Administrators, Kindergarten through Secondary",319630.0,104070.0,BLS OEWS 2024
11-9033,"Education Administrators, Postsecondary",176420.0,103960.0,BLS OEWS 2024
11-9039,"Education Administrators, All Other",53330.0,89040.0,BLS OEWS 2024
11-9041,Architectural and Engineering Managers,210340.0,167740.0,BLS OEWS 2024
11-9051,Food Service Managers,244230.0,65310.0,BLS OEWS 2024
11-9070,Entertainment and Recreation Managers,41320.0,77650.0,BLS OEWS 2024
11-9071,Gambling Managers,4620.0,85580.0,BLS OEWS 2024
11-9072,"Entertainment and Recreation Managers, Except Gambling",36700.0,77180.0,BLS OEWS 2024
11-9081,Lodging Managers,41350.0,68130.0,BLS OEWS 2024
11-9111,Medical and Health Services Managers,565840.0,117960.0,BLS OEWS 2024
11-9121,Natural Sciences Managers,100870.0,161180.0,BLS OEWS 2024
11-9131,Postmasters and Mail Superintendents,13810.0,92730.0,BLS OEWS 2024
11-9141,"Property, Real Estate, and Community Association Managers",296640.0,66700.0,BLS OEWS 2024
11-9151,Social and Community Service Managers,195490.0,78240.0,BLS OEWS 2024
11-9161,Emergency Management Directors,12570.0,86130.0,BLS OEWS 2024
11-9170,Personal Service Managers,23610.0,70560.0,BLS OEWS 2024
11-9171,Funeral Home Managers,13120.0,76830.0,BLS OEWS 2024
11-9179,"Personal Service Managers, All Other",10490.0,61340.0,BLS OEWS 2024
11-9199,"Managers, All Other",630980.0,136550.0,BLS OEWS 2024
13-1000,Business Operations Specialists,7318320.0,80410.0,BLS OEWS 2024
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",14220.0,96310.0,BLS OEWS 2024
13-1020,Buyers and Purchasing Agents,486900.0,75650.0,BLS OEWS 2024
13-1030,"Claims Adjusters, Appraisers, Examiners, and Investigators",312810.0,76790.0,BLS OEWS 2024
13-1031,"Claims Adjusters, Examiners, and Investigators",305020.0,76790.0,BLS OEWS 2024
13-1032,"Insurance Appraisers, Auto Damage",7790.0,76650.0,BLS OEWS 2024
13-1041,Compliance Officers,397770.0,78420.0,BLS OEWS 2024
13-1051,Cost Estimators,219530.0,77070.0,BLS OEWS 2024
13-1070,Human Resources Workers,982460.0,74220.0,BLS OEWS 2024
13-1071,Human Resources Specialists,917460.0,72910.0,BLS OEWS 2024
13-1074,Farm Labor Contractors,410.0,48690.0,BLS OEWS 2024
13-1075,Labor Relations Specialists,64590.0,93500.0,BLS OEWS 2024
13-1080,Logisticians and Project Management Specialists,1241800.0,98070.0,BLS OEWS 2024
13-1081,Logisticians,235640.0,80880.0,BLS OEWS 2024
13-1082,Project Management Specialists,1006160.0,100750.0,BLS OEWS 2024
13-1111,Management Analysts,893900.0,101190.0,BLS OEWS 2024
13-1121,"Meeting, Convention, and Event Planners",134670.0,59440.0,BLS OEWS 2024
